year,quarter,gdp_growth_pct,unemployment_rate,inflation_rate,trade_balance_sgd_bn,property_price_index,tourist_arrivals
2000,1,5.09,2.36,0.54,15.8,100.0,"5,100,000"
2000,2,4.89,2.63,1.19,9.9,104.1,"5,312,838"
2000,3Q,5.03,2.56,0.9,17.5,104.8,"5,246,242"
2000,4,4.18,2.77,2.53,8.4,109.2,"5,513,342"
2001,1Q,-1.79,3.41,0.87,16.8,110.3,"5,955,278"
2001,Q2,2.71,3.78,2.02,,108.9,"5,813,506"
2001,3,2.84,3.9,2.58,7.2,108.1,"5,694,284"
2001,Q4,2.41,3.87,2.24,15.4,105.0,"6,083,952"
2002,Q1,4.19,3.68,1.1,6.6,103.5,"6,128,646"
2002,2Q,4.24,3.33,2.91,17.3,103.4,"6,564,717"
2002,Q3,5.26,3.34,2.65,6.4,106.3,"6,546,983"
2002,4,5.53,3.22,2.72,20.9,111.7,"7,026,234"
2003,1Q,4.82,2.94,0.89,7.3,108.7,"7,168,581"
2003,Q2,5.44,2.76,0.87,21.3,110.7,"7,350,155"
2003,3,5.74,2.81,3.28,18.6,108.7,"7,920,444"
2003,4Q,5.64,2.65,1.69,15.1,110.8,"7,924,636"
2004,Q1,8.51,2.52,1.4,18.3,111.4,"7,745,183"
2004,2,8.41,2.4,1.97,18.5,107.2,"7,722,393"
2004,3Q,8.46,2.46,2.49,21.1,110.5,"7,977,953"
2004,Q4,7.99,2.18,3.37,9.3,109.7,"7,597,960"
2005,1,7.34,2.4,1.36,15.0,109.1,"7,905,668"
2005,2Q,6.8,2.42,3.27,6.6,107.1,"7,853,879"
2005,3,7.17,2.32,0.57,15.5,106.2,"8,332,279"
2005,4,6.45,2.34,2.17,,108.2,"7,659,277"
2006,1Q,8.87,2.48,2.4,14.6,108.5,"7,533,185"
2006,2,8.69,2.34,0.82,14.7,110.3,"7,138,004"
2006,Q3,8.56,2.35,0.92,12.9,112.2,"7,009,169"
2006,Q4,8.31,1.98,1.76,13.9,116.8,"7,183,744"
2007,1Q,9.02,1.84,3.4,18.0,116.7,"7,239,999"
2007,2,8.63,1.71,2.29,18.6,113.3,"7,275,221"
2007,3Q,8.64,1.76,3.3,13.4,117.3,"7,338,025"
2007,4Q,7.68,1.76,2.91,15.2,117.2,"7,507,794"
2008,1,6.05,2.06,,20.8,116.7,"6,716,912"
2008,2,-0.64,2.48,2.85,7.0,114.1,"6,470,227"
2008,3,-3.32,3.05,0.55,7.0,110.1,"6,221,166"
2008,Q4,-0.76,3.2,0.83,6.5,107.5,"5,912,606"
2009,1,-4.23,3.43,2.99,16.2,113.6,"6,132,917"
2009,2Q,-1.25,3.38,2.89,12.1,120.5,"6,297,627"
2009,3Q,2.95,3.0,1.2,18.2,121.6,"6,904,737"
2009,4Q,4.2,2.79,2.09,16.4,123.1,"6,984,254"
2010,Q1,14.72,2.24,2.32,10.7,127.4,"7,003,228"
2010,Q2,13.36,1.9,3.1,20.3,125.7,"6,897,191"
2010,3Q,11.6,1.69,2.31,18.0,127.8,"6,715,860"
2010,4,12.07,1.93,1.74,9.6,128.7,"6,482,290"
2011,1,6.04,1.92,1.62,11.2,130.7,"6,349,067"
2011,Q2,5.87,1.96,,10.3,129.1,"6,426,353"
2011,3,5.46,2.04,,7.7,125.0,"6,608,680"
2011,Q4,4.87,1.99,3.1,7.5,119.5,"6,721,330"
2012,1,3.7,2.01,1.86,20.9,117.1,"6,616,333"
2012,2Q,3.22,1.92,1.24,12.4,116.7,"6,953,815"
2012,3Q,2.89,1.78,1.21,,116.8,"7,263,792"
2012,4,2.69,1.7,2.74,17.4,123.4,"7,326,362"
2013,1Q,3.56,1.73,2.95,14.4,127.8,"7,244,918"
2013,2,4.1,1.85,,20.9,125.7,"7,512,524"
2013,3Q,3.66,1.79,0.7,18.3,127.8,"7,681,698"
2013,4,3.31,1.98,2.28,13.1,127.5,"7,351,961"
2014,1Q,3.82,1.91,0.94,11.4,127.6,"7,442,249"
2014,Q2,3.95,2.1,2.97,21.8,129.3,"7,631,888"
2014,3,2.54,1.95,1.43,17.2,132.3,"7,471,711"
2014,4Q,2.79,1.78,0.93,21.2,132.2,"7,640,525"
2015,1Q,1.5,1.8,3.26,7.0,136.8,"7,310,509"
2015,Q2,2.1,1.83,1.0,19.5,134.0,"7,810,894"
2015,Q3,1.85,2.21,,15.8,135.1,"8,317,962"
2015,4Q,1.68,1.92,0.96,7.1,144.9,"8,358,714"
2016,Q1,2.61,2.28,0.85,15.0,146.9,"8,605,615"
2016,2,2.24,2.01,0.56,,153.3,"7,905,145"
2016,3,1.7,2.19,0.67,5.2,154.9,"7,658,078"
2016,4,1.86,2.04,1.02,12.7,158.4,"7,682,958"
2017,1,3.76,2.18,0.66,19.0,159.5,"7,468,717"
2017,2Q,3.74,2.2,2.27,10.0,160.1,"7,794,172"
2017,Q3,3.62,2.03,2.54,12.8,158.2,"8,533,776"
2017,4Q,3.46,2.04,1.68,12.5,161.2,"8,260,144"
2018,1Q,2.92,2.05,1.45,10.1,159.0,"8,107,343"
2018,2,3.55,1.98,2.01,20.6,163.0,"8,305,308"
2018,Q3,3.04,1.87,,18.3,168.7,"8,965,120"
2018,4Q,3.01,2.02,3.05,6.9,171.6,"8,661,248"
2019,1Q,0.67,2.36,0.63,21.9,171.7,"8,877,445"
2019,Q2,0.65,2.32,1.04,19.9,175.0,"9,657,346"
2019,Q3,0.69,2.29,1.21,9.8,175.1,"9,164,142"
2019,4Q,0.41,2.23,1.25,,180.6,"8,832,008"
2020,Q1,-3.16,2.73,6.22,6.8,172.0,"176,640"
2020,Q2,-13.5,4.02,,22.0,170.2,"3,532"
2020,3Q,-5.91,4.46,5.27,16.3,161.4,70
2020,Q4,-2.51,4.21,5.78,16.1,155.0,1
2021,1Q,-0.86,3.04,4.03,6.5,164.6,0
2021,Q2,15.35,2.65,3.78,20.2,172.9,0
2021,Q3,7.36,2.22,,5.5,174.7,0
2021,4Q,6.0,1.98,4.33,9.1,173.0,0
2022,1,4.64,1.86,5.47,7.4,165.0,"100,000"
2022,2Q,4.33,2.17,5.74,18.2,167.4,"123,953"
2022,3,4.0,2.07,5.73,8.4,182.2,"159,484"
2022,4Q,2.47,1.88,5.65,20.5,189.3,"206,614"
2023,1Q,1.97,1.86,3.76,16.2,188.2,"265,070"
2023,2Q,1.78,1.95,4.37,5.6,191.9,"317,442"
2023,3,0.99,1.79,3.59,5.1,185.9,"408,396"
2023,4,1.57,1.81,4.9,5.9,186.0,"499,725"
2024,1,2.1,1.86,2.84,,188.0,"511,923"
2024,2,2.5,1.76,0.9,18.6,189.1,"490,449"
2024,3Q,3.12,1.9,2.11,9.1,194.3,"506,561"
2024,4Q,2.93,1.88,2.04,19.4,197.5,"497,816"
2019,Q2,0.65,2.32,1.04,19.9,175.0,"9,657,346"
